Identifikasjonsnr,Objekttype,Beskrivende datering,Ervervelse
NG.K&H.1997.0917,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0918,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0919,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0920,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0921,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0922,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0923,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0924,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0925,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0926,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0926VERSO,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0927,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0928,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0929,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0930,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0931,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0932,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0933,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0934,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0935,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0936,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0937,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0938,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0939,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0940,Billedkunst,Antagelig 1962,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0941,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0942,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0943,Billedkunst,Antagelig 1962,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0944,Billedkunst,Antagelig 1962,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0944VERSO,Billedkunst,Antagelig 1962,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0945,Billedkunst,Antagelig 1962,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0946,Billedkunst,Antagelig 1962,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0946VERSO,Billedkunst,Antagelig 1962,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0947,Billedkunst,Antagelig 1962,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0948,Billedkunst,Antagelig 1962,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0949,Billedkunst,Antagelig 1962,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0950,Billedkunst,Antagelig 1951,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0951,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0952,Billedkunst,1962,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0952VERSO,Billedkunst,Antagelig 1962,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0953,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0954,Billedkunst,-1958,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0955,Billedkunst,1957,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0956,Billedkunst,1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0957,Billedkunst,1967,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0958,Billedkunst,1967,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0959,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0959VERSO,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0960,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0960VERSO,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0961,Billedkunst,1958,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0962,Billedkunst,Antagelig 1955,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0963,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0964,Billedkunst,Antagelig 1955 eller 1956,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0964VERSO,Billedkunst,Antagelig 1955 eller 1956,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0965,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0966,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0967,Billedkunst,Antagelig 1969,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0968,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0969,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0970,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0971,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0971VERSO,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0972,Billedkunst,Antagelig 1968,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0972VERSO,Billedkunst,Antagelig 1968,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0973,Billedkunst,-1958,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0974,Billedkunst,1958,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0975,Billedkunst,1958,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0976,Billedkunst,-1958,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0977,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0978,Billedkunst,-1958,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0979,Billedkunst,-1958,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0980,Billedkunst,Antagelig 1958,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0981,Billedkunst,Antagelig 1958,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0982,Billedkunst,-1958,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0983,Billedkunst,-1958,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0984,Billedkunst,1966,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0985,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0986,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0987,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0988,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0988VERSO,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0989,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0989VERSO,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0990,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0990VERSO,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0991,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0992,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0993,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0993VERSO,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0994,Billedkunst,Antagelig 1947,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0995,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0996,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0996VERSO,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0997,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0998,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.0999,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1000,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1001,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1002,Billedkunst,Antagelig 1958,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1003,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1003VERSO,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1004,Billedkunst,1955,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1005,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1006,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1007,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1008,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1009,Billedkunst,Antagelig 1969,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1010,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1011,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1012,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1013,Billedkunst,Antagelig 1969,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1013VERSO,Billedkunst,Antagelig 1969,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1014,Billedkunst,Antagelig 1969,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1015,Billedkunst,Antagelig 1931,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1016,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1017,Billedkunst,Mellom 1969 og 1971,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1018,Billedkunst,1967,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1019,Billedkunst,1963,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1020,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1021,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1021VERSO,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1022,Billedkunst,Antagelig 1970,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1023,Billedkunst,Antagelig 1970,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1024,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1025,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1026,Billedkunst,1956,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1027,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1028,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1029,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1030,Billedkunst,Antagelig 1956,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1031,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1032,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1033,Billedkunst,Antagelig 1950,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1034,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1035,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1036,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1037,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1038,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1039,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1039VERSO,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1040,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1041,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1042,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1043,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1044,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1045,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1046,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1047,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1048,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1049,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1050,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1051,Billedkunst,1954,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1052,Billedkunst,Uten år,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1053,Billedkunst,-1950,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1054,Billedkunst,1967,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1055,Billedkunst,1943,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1056,Billedkunst,1967,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-001,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-002,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-003,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-004,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-005,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-006,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-007,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-008,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-009,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-010,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-011,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-012,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-013,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-014,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-015,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-016,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-017,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-018,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-019,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-020,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-020VERSO,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-021,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-022,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-023,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-024,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-025,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-026,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-027,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-028,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-029,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-030,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-031,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-032,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-033,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-034,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-035,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-036,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-037,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-038,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-039,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1057-040,Billedkunst,-1942,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-001,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-002,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-003,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-004,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-005,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-006,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-007,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-008,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-009,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-010,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-048VERSO,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-049VERSO,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-050VERSO,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-051VERSO,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-052VERSO,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-053,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-053VERSO,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-054,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-054VERSO,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-056,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-057,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-058,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-058VERSO,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-059VERSO,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-060VERSO,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-061VERSO,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-062VERSO,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-063VERSO,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-064,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1058-064VERSO,Billedkunst,Antagelig 1960,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1059-001,Billedkunst,-1947,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1059-002,Billedkunst,-1947,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1059-005,Billedkunst,-1947,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1059-006,Billedkunst,-1947,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1059-007,Billedkunst,-1947,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1059-008,Billedkunst,-1947,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1059-009,Billedkunst,-1947,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1059-010,Billedkunst,-1947,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1059-011,Billedkunst,-1947,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1059-012,Billedkunst,-1947,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1059-013,Billedkunst,-1947,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
NG.K&H.1997.1059-014,Billedkunst,-1947,Gave fra Ragnhild Maria og Eivind Otto Hjelle 1997
