Identifikasjonsnr,Objekttype,Beskrivende datering,Ervervelse
NG.K&H.B.09831,Billedkunst,1961 (trykk),"Overført fra Riksgalleriet, innkommet 2012"
NG.K&H.B.09832,Billedkunst,1952 (trykk),"Overført fra Riksgalleriet, innkommet 2012"
NG.K&H.B.09833-004,Billedkunst,-1967,Gave fra Eivind Otto Hjelle ca. 1999
NG.K&H.B.09833-005,Billedkunst,-1967,Gave fra Eivind Otto Hjelle ca. 1999
NG.K&H.B.09833-006,Billedkunst,-1967,Gave fra Eivind Otto Hjelle ca. 1999
NG.K&H.B.09833-007,Billedkunst,-1967,Gave fra Eivind Otto Hjelle ca. 1999
NG.K&H.B.09833-008,Billedkunst,-1967,Gave fra Eivind Otto Hjelle ca. 1999
NG.K&H.B.09834,Billedkunst,1967 (trykk),Overført fra Riksgalleriet 2012
NG.K&H.B.09835,Billedkunst,Antagelig 1841  ,Evervelsesopplysninger under arbeid
NG.K&H.B.09836,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09837,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09838,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09838VERSO,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09839,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09840,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09840VERSO,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09841,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09841VERSO,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09842,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09842VERSO,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09843,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09843VERSO,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09844,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09844VERSO,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09845,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012  
NG.K&H.B.09845VERSO,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012  
NG.K&H.B.09846,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09846VERSO,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09847,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09848,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09848VERSO,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09849,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09849VERSO,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
