INTVENTARNUMMER,Fornavn kunstner,Etternavn kunstner,FØDT,DØD,FØDESTED,DØDSSTED,Koordinat fødested,Koordinat dødssted,Nasjonalitet kunstner,Kjønn kunstner,Yrke kunstner,Navn produsent,Nasjonalitet produsent,Produsent etablert,Bransje produsent,BETEGNELSE,Presisert betegnelse,EMNEORD,FARGE,Produksjonssted,Koordinat produksjonssted,Produsert fra dato,Produsert til dato,Aksesjon fra dato,Aksesjon til dato
DEP00037-1990,Joachim,Bandau,1936,,,,,,Tyskland,Mann,,,,,,Maleri,,Bildende kunst,,,,1983,1983,,
DEP00038-1990,Joachim,Bandau,1936,,,,,,Tyskland,Mann,,,,,,Maleri,,Bildende kunst,,,,1983,1983,,
DEP00039-1990,Michael,Croissant,1928,,,,,,Tyskland,Mann,,,,,,Skulptur,,Bildende kunst,,,,1982,1982,,
DEP00040-1990,Michael,Croissant,1928,,,,,,Tyskland,Mann,,,,,,Tegning,,Bildende kunst,,,,1972,1972,,
DEP00041-1990,Michael,Croissant,1928,,,,,,Tyskland,Mann,,,,,,Tegning,,Bildende kunst,,,,1975,1975,,
DEP00042-1990,Michael,Croissant,1928,,,,,,Tyskland,Mann,,,,,,Tegning,,Bildende kunst,,,,1978,1978,,
DEP00043-1990,Michael,Croissant,1928,,,,,,Tyskland,Mann,,,,,,Tegning,,Bildende kunst,,,,1980,1980,,
DEP00044-1990,Michael,Croissant,1928,,,,,,Tyskland,Mann,,,,,,Tegning,,Bildende kunst,,,,1981,1981,,
DEP00045-1990,Imi,Knoebel,1940,,,,,,Tyskland,Mann,,,,,,Skulptur,,Bildende kunst,,,,1981,1981,,
DEP00046-1990,Ulrich,Rückriem,1938,,,,,,Tyskland,Mann,,,,,,Skulptur,,Bildende kunst,,,,1979,1979,,
DEP00047-1990,Ulrich,Rückriem,1938,,,,,,Tyskland,Mann,,,,,,Skulptur,,Bildende kunst,,,,1982,1982,,
DEP00048-1990,Ulrich,Rückriem,1938,,,,,,Tyskland,Mann,,,,,,Tegning,,Bildende kunst,,,,1980,1980,,
DEP00049-1990,Ulrich,Rückriem,1938,,,,,,Tyskland,Mann,,,,,,Tegning,,Bildende kunst,,,,1980,1980,,
DEP00050-1990,Reiner,Ruthenbeck,1937,,,,,,Tyskland,Mann,,,,,,Skulptur,,Bildende kunst,,,,1976,1976,,
DEP00051-1990,Reiner,Ruthenbeck,1937,,,,,,Tyskland,Mann,,,,,,Skulptur,,Bildende kunst,,,,1983,1983,,
DEP00052-1990,Alf,Schuler,1945,,,,,,Tyskland,Mann,,,,,,Skulptur,,Bildende kunst,,,,,,,
DEP00053-1990,Alf,Schuler,1945,,,,,,Tyskland,Mann,,,,,,Tegning,,Bildende kunst,,,,1974,1974,,
DEP00054-1990,Alf,Schuler,1945,,,,,,Tyskland,Mann,,,,,,Tegning,,Bildende kunst,,,,1980,1980,,
DEP00055-1990,Alf,Schuler,1945,,,,,,Tyskland,Mann,,,,,,Tegning,,Bildende kunst,,,,1981,1981,,
DEP00057-1992,Josef,Albers,1888,1976,,,,,,Mann,,,,,,Maleri,,Bildende kunst,,,,1961,1961,,
DEP00058-1992,Olle,Bærtling,1911,1986,,,,,Sverige,Mann,,,,,,Maleri,,Bildende kunst,,,,1965,1965,,
DEP00059-1992,Jean,Dewasne,1921,,,,,,Frankrike,Mann,,,,,,Maleri,,Bildende kunst,,,,1954,1954,,
DEP00060-1992,Burgoyne,Diller,1906,1965,,,,,USA,Mann,,,,,,Maleri,,Bildende kunst,,,,1962,1962,,
DEP00061-1992,Marcel,Floris,1914,,,,,,Frankrike,Mann,,,,,,Skulptur,,Bildende kunst,,,,1990,1990,,
DEP00062-1992,Marcel,Floris,1914,,,,,,Frankrike,Mann,,,,,,Skulptur,,Bildende kunst,,,,1981,1981,,
DEP00063-1992,Jan,Groth,1938,,,,,,Norge,Mann,Billedkunstner,,,,,Tekstil,,Bildende kunst,,,,,,,
DEP00064-1992,Jan,Groth,1938,,,,,,Norge,Mann,Billedkunstner,,,,,Tekstil,,Bildende kunst,,,,1988,1988,,
DEP00065-1992,Aurélie,Nemours,1910,,,,,,Frankrike,Kvinne,,,,,,Maleri,,Bildende kunst,,,,1982,1982,,
DEP00066-1992,Aurélie,Nemours,1910,,,,,,Frankrike,Kvinne,,,,,,Maleri,,Bildende kunst,,,,1984,1984,,
DEP00067-1992,Lars-Gunnar,Nordström,1924,,,,,,Finland,Mann,,,,,,Maleri,,Bildende kunst,,,,,,,
DEP00068-1992,Paul,Osipow,1939,,,,,,Finland,Mann,,,,,,Maleri,,Bildende kunst,,,,1988,1988,,
DEP00069-1992,Paul,Osipow,1939,,,,,,Finland,Mann,,,,,,Maleri,,Bildende kunst,,,,1989,1989,,
DEP00070-1992,Bjørn,Ransve,1944,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1991,1991,,
DEP00071-1992,Bjørn,Ransve,1944,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1991,1991,,
DEP00072-1992,Olav,Strømme,1909,1978,"Ørsta, Møre og Romsdal (Norge)","Oslo (fylke), Oslo (Norge)",,"59.9138688, 10.752245399999992",Norge,Mann,Billledkunstner,,,,,Maleri,,Bildende kunst,,,,,,,
DEP00073-1992,Victor,Vasarely,1908,1997,,,,,Frankrike,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1950,1950,,
DEP00074-1992,Thornton,Willis,1936,,,,,,USA,Mann,,,,,,Maleri,,Bildende kunst,,,,1980,1980,,
DEP00075-1992,Ryszard,Warsinski,1937,1996,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,,,,
DEP00076-1992,Jakob,Schmidt,1947,1992,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,,,,
DEP00077-1992,Jakob,Schmidt,1947,1992,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1989,1989,,
DEP00078-1992,Jakob,Schmidt,1947,1992,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1989,1989,,
DEP00079-1992,Jakob,Schmidt,1947,1992,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1989,1989,,
DEP00080-1992,James,Rosenquist,1933,,,,,,USA,Mann,,,,,,Maleri,,Bildende kunst,,,,1991,1991,,
DEP00081-1993,Jasper,Johns,1930,,,,,,USA,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
DEP00082-1992,Michelangelo,Pistoletto,1933,,,,,,Italia,Mann,,,,,,Grafikk,,Bildende kunst,,,,1989,1989,,
DEP00083-1992,Michelangelo,Pistoletto,1933,,,,,,Italia,Mann,,,,,,Grafikk,,Bildende kunst,,,,1989,1989,,
DEP00084-1993,Julian,Opie,1958,,,,,,Storbritannia,Mann,,,,,,Installasjon,,Bildende kunst,,,,1992,1992,,
DEP00085-1993,Tony,Cragg,1949,,,,,,Storbritannia,Mann,,,,,,Skulptur,,Bildende kunst,,,,1988,1988,,
DEP00086-1993,Antony,Gormley,1950,,,,,,Storbritannia,,,,,,,Skulptur,,Bildende kunst,,,,1983,1984,,
DEP00087-1993,Yngve,Zakarias,1957,,,,,,Norge,Mann,,,,,,Grafikk,,Bildende kunst,,,,1988,1988,,
DEP00088-1993,Yngve,Zakarias,1957,,,,,,Norge,Mann,,,,,,Grafikk,,Bildende kunst,,,,1988,1988,,
DEP00089-1993,Frans,Widerberg,1934,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1989,1989,,
DEP00090-1994,Odd,Nerdrum,1944,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1977,1977,,
DEP00091-1994,Terje,Bergstad,1938,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,,,,
DEP00092-1994,Tony,Smith,1912,1980,,,,,USA,Mann,,,,,,Skulptur,,Bildende kunst,,,,1969,1969,,
DEP00093-1994,Jan,Groth,1938,,,,,,Norge,Mann,Billedkunstner,,,,,Tekstil,,Bildende kunst,,,,1986,1986,,
DEP00095-1995,Odd,Nerdrum,1944,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,,,,
DEP00097-1996,Richard,Long,1945,,,,,,Storbritannia,Mann,,,,,,Installasjon,,Bildende kunst,,,,1995,1995,,
DEP00098-1996,Odd,Nerdrum,1944,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1978,1978,,
DEP00099-1997,Victor,Vasarely,1908,1997,,,,,Frankrike,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,,,,
DEP00100-1997,Bjørn,Ransve,1944,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1990,1990,,
DEP00101-1997,Robert,Smithson,1938,1973,,,,,USA,Mann,,,,,,Tegning,,Bildende kunst,,,,1962,1962,,
DEP00102-1997,Robert,Smithson,1938,1973,,,,,USA,Mann,,,,,,Tegning,,Bildende kunst,,,,1960,1960,,
DEP00103-1997,Robert,Smithson,1938,1973,,,,,USA,Mann,,,,,,Tegning,,Bildende kunst,,,,1961,1961,,
DEP00104-1997,Robert,Smithson,1938,1973,,,,,USA,Mann,,,,,,Tegning,,Bildende kunst,,,,1962,1962,,
DEP00105-1997,Robert,Smithson,1938,1973,,,,,USA,Mann,,,,,,Tegning,,Bildende kunst,,,,1962,1962,,
DEP00106-1998,Jakob,Weidemann,1923,2001,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1951,1951,,
DEP00107-1998,Inger,Sitter,1929,,,,,,Norge,Kvinne,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,,,,
DEP00108-1999,Per,Barclay,1955,,,,,,Norge,Mann,,,,,,Skulptur,,Bildende kunst,,,,1979,1979,1999,1999
DEP00109-1999,Robert,Smithson,1938,1973,,,,,USA,Mann,,,,,,Skulptur,,Bildende kunst,,,,1999,1999,,
DEP00111-2003,Jakob,Weidemann,1923,2001,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1968,1968,,
DEP00112-2003,Jakob,Weidemann,1923,2001,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1965,1965,,
DEP00113-2004,Per,Barclay,1955,,,,,,Norge,Mann,,,,,,Installasjon,,Bildende kunst,,,,1987,1987,,
DEP00114-2004,Per,Barclay,1955,,,,,,Norge,Mann,,,,,,Installasjon,,Bildende kunst,,,,1987,1987,,
DEP00115-2004,Per,Barclay,1955,,,,,,Norge,Mann,,,,,,Installasjon,,Bildende kunst,,,,1989,1989,,
DEP00116-2004,Per,Barclay,1955,,,,,,Norge,Mann,,,,,,Installasjon,,Bildende kunst,,,,1999,1999,,
DKS.A.00074,Jan Gerritsz,Swelinck,,,,,,,Nederland,Mann,Stikker,,,,,Grafikk,,Bildende kunst,,,,,,,
DKS.A.00088,Hendrik,Goltzius,1558,1617,,,,,Nederland,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
HILDE OG GRO 2012,,,,,,,,,,,,,,,,Tallerken,,,,,,,,,
MS-00001-1988,Lena,Cronqvist,1938,,,,,,Sverige,Kvinne,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1975,1976,1988,1988
MS-00002-1988,Lena,Cronqvist,1938,,,,,,Sverige,Kvinne,Billedkunstner,,,,,Grafikk,,Bildende kunst,,,,1982,1982,,
MS-00003-1988,Lena,Cronqvist,1938,,,,,,Sverige,Kvinne,Billedkunstner,,,,,Grafikk,,Bildende kunst,,,,1983,1983,,
MS-00004-1988,Lena,Cronqvist,1938,,,,,,Sverige,Kvinne,Billedkunstner,,,,,Grafikk,,Bildende kunst,,,,1985,1985,,
MS-00005-1988,Lena,Cronqvist,1938,,,,,,Sverige,Kvinne,Billedkunstner,,,,,Grafikk,,Bildende kunst,,,,1986,1986,,
MS-00006-1988,Lena,Cronqvist,1938,,,,,,Sverige,Kvinne,Billedkunstner,,,,,Grafikk,,Bildende kunst,,,,1980,1980,,
MS-00007-1988,Inger,Sitter,1929,,,,,,Norge,Kvinne,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1987,1987,,
MS-00008-1988,Svein,Mamen,1955,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1988,1988,,
MS-00009-1988,Svend,Wiig Hansen,1922,,,,,,Danmark,,,,,,,Maleri,,Bildende kunst,,,,,,,
MS-00010-1988,Zdenka,Rusova,1939,,,,,,Norge,Kvinne,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1985,1985,1988,1988
MS-00011-1988,Reinhardt,Søbye,1956,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1987,1987,,
MS-00012-1988,Ellen Karin,Mæhlum,1957,,,,,,Norge,Kvinne,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1988,1988,1988,1988
MS-00013-1988,Tore,Haaland,1918,2006,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1947,1947,,
MS-00014-1988,Nino,Longobardi,1953,,,,,,Italia,Mann,,,,,,Grafikk,,Bildende kunst,,,,1985,1985,,
MS-00015-1988,Zdenka,Rusova,1939,,,,,,Norge,Kvinne,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1987,1987,,
MS-00016-1988,Erling,Valtyrson,1955,,,,,,Norge,Mann,Billedkunstner,,,,,Grafikk,Opplagstrykk,Bildende kunst,,,,1988,1988,1988,1988
MS-00017-1988,Erling,Valtyrson,1955,,,,,,Norge,Mann,Billedkunstner,,,,,Grafikk,Opplagstrykk,Bildende kunst,,,,1988,1988,1988,1988
MS-00018-1988,Hugo,Aasjord,1955,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1987,1987,,
MS-00019-1988,Sol,LeWitt,1928,,,,,,USA,,,,,,,Maleri,,Bildende kunst,,,,1987,1987,,
MS-00020-1988,Sol,LeWitt,1928,,,,,,USA,,,,,,,Maleri,,Bildende kunst,,,,1987,1987,,
MS-00021-1988,Sol,LeWitt,1928,,,,,,USA,,,,,,,Maleri,,Bildende kunst,,,,1987,1987,,
MS-00022-1988,Sol,LeWitt,1928,,,,,,USA,,,,,,,Maleri,,Bildende kunst,,,,1987,1987,,
MS-00023-1988,Sol,LeWitt,1928,,,,,,USA,,,,,,,Maleri,,Bildende kunst,,,,1987,1987,,
MS-00024-1988,Sol,LeWitt,1928,,,,,,USA,,,,,,,Maleri,,Bildende kunst,,,,1987,1987,,
MS-00025-1988,Snorre,Kyllingmark,1948,,,,,,Norge,Mann,Billedkunsrner,,,,,Maleri,,Bildende kunst,,,,1988,1988,,
MS-00026-1988,Snorre,Kyllingmark,1948,,,,,,Norge,Mann,Billedkunsrner,,,,,Maleri,,Bildende kunst,,,,1988,1988,,
