KunstnerNøkkel,Fornavn kunstner,Etternavn kunstner,FØDT,DØD,Antall verk
Johan FriedrichBause1738,Johan Friedrich,Bause,1738,1814,23
CharlesErrard1606,Charles,Errard,1606,1689,1
Nicolas HenriTardieu1674,Nicolas Henri,Tardieu,1674,1749,4
CharlesGaucher1740,Charles,Gaucher,1740,1803,1
Henri SimonThomassin1687,Henri Simon,Thomassin,1687,1741,8
Johann ErnstMansfeld1739,Johann Ernst,Mansfeld,1739,1736,1
Philipp AndreasKilian1714,Philipp Andreas,Kilian,1714,1759,3
LucasKilian1579,Lucas,Kilian,1579,1637,14
Andreas LudvigKrüger1743,Andreas Ludvig,Krüger,1743,1805,1
Johan GeorgMüller1769,Johan Georg,Müller,1769,1822,2
Johann HeinrichLips1758,Johann Heinrich,Lips,1758,1817,3
Arnold vanWesterhout1651,Arnold van,Westerhout,1651,0172,3
Erling Carl WilhelmEckersberg1808,Erling Carl Wilhelm,Eckersberg,1808,1889,3
AlbertHaelwegh1610,Albert,Haelwegh,1610,1677,32
Pieter Stevens vanGunst1659,Pieter Stevens van,Gunst,1659,1724,4
Robert vanOudenaarde1663,Robert van,Oudenaarde,1663,1743,1
JacobRieter1758,Jacob,Rieter,1758,1823,1
C.Vermeulen1644,C.,Vermeulen,1644,1702,1
FrançoisPerrier1590,François,Perrier,1590,1660,2
LuigiScavonetti1765,Luigi,Scavonetti,1765,1810,2
GiovanniSuntach1776,Giovanni,Suntach,1776,1842,3
ThomasBurke1749,Thomas,Burke,1749,1815,1
John RaphaelSmith1752,John Raphael,Smith,1752,1812,1
JamesMason1710,James,Mason,1710,1780,5
RobertStrange1721,Robert,Strange,1721,1792,3
JohnOgborne1725,John,Ogborne,1725,1795,6
Peter WilliamTomkins1763,Peter William,Tomkins,1763,1836,3
JamesWatson1740,James,Watson,1740,1790,2
JamesFittler1758,James,Fittler,1758,1835,4
WilliamByrne1734,William,Byrne,1734,1805,2
ValentineGreen1739,Valentine,Green,1739,1813,2
Cristoforo dall'Acqua1734,Cristoforo dall',Acqua,1734,1787,4
Pierre FrançoisBertonnier1791,Pierre François,Bertonnier,1791,1858,1
Etienne JehandierDesrochers1688,Etienne Jehandier,Desrochers,1688,1741,1
Louis SimonLempereur1728,Louis Simon,Lempereur,1728,1807,5
Johan JacobHaid1704,Johan Jacob,Haid,1704,1762,2
Louis FrançoisLejeune1775,Louis François,Lejeune,1775,1848,1
WilhJury1769,Wilh,Jury,1769,1829,43
JonasUmbach1624,Jonas,Umbach,1624,1700,15
AelbertCuyp1620,Aelbert,Cuyp,1620,1691,30
AndreasAchenbach1815,Andreas,Achenbach,1815,1910,58
LouisGurlitt1812,Louis,Gurlitt,1812,1897,3
MartinTyroff1705,Martin,Tyroff,1705,1752,3
Christian FriedrichEzdorf1807,Christian Friedrich,Ezdorf,1807,1858,8
AdamBartsch1757,Adam,Bartsch,1757,1821,43
Johann ChristianReinhart1761,Johann Christian,Reinhart,1761,1847,25
Carl WilhelmKolbe1757,Carl Wilhelm,Kolbe,1757,1835,16
Carl HeinrichRahl1779,Carl Heinrich,Rahl,1779,2018,3
MariaEllenrieder1791,Maria,Ellenrieder,1791,1863,1
Johann ChristianKlengel1751,Johann Christian,Klengel,1751,1824,21
Christian Wilhelm ErnstDietrich1712,Christian Wilhelm Ernst,Dietrich,1712,1774,36
Johann GottfriedThelott1714,Johann Gottfried,Thelott,1714,2017,2
Joh. Andreas BenjaminNathnagel1729,Joh. Andreas Benjamin,Nathnagel,1729,1800,3
Johann Andreas BenjaminNothnagel1729,Johann Andreas Benjamin,Nothnagel,1729,1804,3
Franz EdmundWeirotter1730,Franz Edmund,Weirotter,1730,2017,34
Christian JohannRugendas1708,Christian Johann,Rugendas,1708,1781,31
Karel deMallery1571,Karel de,Mallery,1571,1635,1
JeanMariette1660,Jean,Mariette,1660,1742,1
AdrianCollaert1560,Adrian,Collaert,1560,1618,8
PaulusPotter1625,Paulus,Potter,1625,1654,18
JacobKornerup1825,Jacob,Kornerup,1825,1916,12
Carl FredrikBartsch1829,Carl Fredrik,Bartsch,1829,1908,8
FranzErtinger1640,Franz,Ertinger,1640,1710,6
Charles NicolasCochin d.y.1715,Charles Nicolas,Cochin d.y.,1715,1790,8
AntonMelbye1818,Anton,Melbye,1818,1875,6
Georg PhilippRugendas (I)1666,Georg Philipp,Rugendas (I),1666,1742,24
CarlWahlbom1810,Carl,Wahlbom,1810,1858,92
Andreas PeterMadsen1822,Andreas Peter,Madsen,1822,1911,4
CarlKüchler1803,Carl,Küchler,1803,2018,9
A CSchleisner1810,A C,Schleisner,1810,1882,2
MartinusRørbye1803,Martinus,Rørbye,1803,1848,7
Peter Chr.Schøler1803,Peter Chr.,Schøler,1803,1867,3
GabrielPerelle1603,Gabriel,Perelle,1603,1677,24
SimonGribelin1661,Simon,Gribelin,1661,1733,4
Pierre LouisSurugue1710,Pierre Louis,Surugue,1710,1772,3
John FrancisRigaud1742,John Francis,Rigaud,1742,1810,2
Alex H.Dynouy1781,Alex H.,Dynouy,1781,1836,2
LouisLe Sueur1746,Louis,Le Sueur,1746,1803,1
Raymond deLa Fage1650,Raymond de,La Fage,1650,1684,4
HansHansen1820,Hans,Hansen,1820,1858,5
Carl WilhelmBöhme1720,Carl Wilhelm,Böhme,1720,1795,7
Isaac deMoucheron1667,Isaac de,Moucheron,1667,1744,8
Richard vanOrley1652,Richard van,Orley,1652,1732,3
Pierre FrancoisBasan1723,Pierre Francois,Basan,1723,1797,8
CornelisBloemaert1603,Cornelis,Bloemaert,1603,1684,13
JohanNordhagen1856,Johan,Nordhagen,1856,1956,103
Jan JorisVliet1610,Jan Joris,Vliet,1610,1635,1
Jan Georg vanVliet1610,Jan Georg van,Vliet,1610,1635,10
ReinierVinkels1741,Reinier,Vinkels,1741,1816,5
Johan AdamKlein1792,Johan Adam,Klein,1792,1876,205
VilhelmKyhn1819,Vilhelm,Kyhn,1819,1903,16
Robert AnningBell1863,Robert Anning,Bell,1863,1933,1
Auguste-Gaspard-LouisDesnoyers1779,Auguste-Gaspard-Louis,Desnoyers,1779,1857,4
Joseph ThéodoreRichomme1785,Joseph Théodore,Richomme,1785,1849,3
JohnBrowne1741,John,Browne,1741,1801,4
FriedrichWagner1803,Friedrich,Wagner,1803,1876,3
GiuseppeVasi1710,Giuseppe,Vasi,1710,1782,2
BartolomeoPinelli1781,Bartolomeo,Pinelli,1781,1835,7
Gustave JosephBiot1754,Gustave Joseph,Biot,1754,1838,1
Jan vanAken1614,Jan van,Aken,1614,1661,13
WilliamSkelton1760,William,Skelton,1760,1830,2
Johann WilhelmKaiser1813,Johann Wilhelm,Kaiser,1813,1874,1
JacobusNeeffs1610,Jacobus,Neeffs,1610,1660,4
GérardAudran1640,Gérard,Audran,1640,1703,5
Cornelis vanChaukerken1625,Cornelis van,Chaukerken,1625,1680,1
MauriceBlot1753,Maurice,Blot,1753,1818,2
CarlMüller1812,Carl,Müller,1812,1848,4
Richard AustenArtlett1807,Richard Austen,Artlett,1807,1873,2
CornelisMassys1508,Cornelis,Massys,1508,1584,2
PieterBrueghel d.e.1525,Pieter,Brueghel d.e.,1525,1569,9
GuiseppeLonghi1766,Guiseppe,Longhi,1766,1831,1
Etienne FrédéricLignon1779,Etienne Frédéric,Lignon,1779,1833,3
Nicolas deBruyn1565,Nicolas de,Bruyn,1565,1652,11
Carl LudwigSchuler1785,Carl Ludwig,Schuler,1785,1852,2
Johan MartinPreisler1715,Johan Martin,Preisler,1715,1794,6
Crispin dePasse I1565,Crispin de,Passe I,1565,1637,29
Crispin dePasse II1589,Crispin de,Passe II,1589,1667,1
Søren HenrikPetersen1788,Søren Henrik,Petersen,1788,1860,25
AndreasHeckel1747,Andreas,Heckel,1747,1799,2
JacobusHoubraken1698,Jacobus,Houbraken,1698,1780,6
RichardEarlom1743,Richard,Earlom,1743,1822,5
FriedrichMüller1749,Friedrich,Müller,1749,1825,4
Georg vonRosen1843,Georg von,Rosen,1843,1923,4
NiccoloBoldrini1510,Niccolo,Boldrini,1510,1570,6
DankerDankerts1634,Danker,Dankerts,1634,1666,2
Emanuel deGhendt1738,Emanuel de,Ghendt,1738,1818,6
Adrian van derCabel1631,Adrian van der,Cabel,1631,1705,13
Herman IISaftleven1609,Herman II,Saftleven,1609,1685,1
ChrHaldenwang1770,Chr,Haldenwang,1770,1831,2
Hugo LouisBecker1833,Hugo Louis,Becker,1833,1868,1
Peter vonBemmel1686,Peter von,Bemmel,1686,1754,7
Gotlieb LouisFehr1800,Gotlieb Louis,Fehr,1800,1855,5
Johann GottliebFacius1750,Johann Gottlieb,Facius,1750,1800,2
Georg SigmundFacius1750,Georg Sigmund,Facius,1750,1800,6
Christian GottliebGeyser1742,Christian Gottlieb,Geyser,1742,1803,137
JacobGauermann1773,Jacob,Gauermann,1773,1843,9
FritzGauermann1807,Fritz,Gauermann,1807,1862,1
Wilhelm vonKobell1766,Wilhelm von,Kobell,1766,1855,4
Joh. MichaelProbst1700,Joh. Michael,Probst,1700,1800,1
BenedictPiringer1780,Benedict,Piringer,1780,1826,2
Johann GottlobSchumann1761,Johann Gottlob,Schumann,1761,1810,1
Gotthelf WilhelmWeise1751,Gotthelf Wilhelm,Weise,1751,2018,3
JosephMössmer1780,Joseph,Mössmer,1780,1845,1
Martin vonMolitor1759,Martin von,Molitor,1759,1812,11
Georg MartinPreissler1700,Georg Martin,Preissler,1700,1754,9
Johann ConradReiff1700,Johann Conrad,Reiff,1700,1800,1
FriedrichReclam1734,Friedrich,Reclam,1734,1774,4
Carl WilhelmWeisbrod1746,Carl Wilhelm,Weisbrod,1746,1806,1
SamuelAmsler1791,Samuel,Amsler,1791,1849,1
J.Bruder1782,J.,Bruder,1782,1838,2
JacobDorner1741,Jacob,Dorner,1741,1813,2
Balthasar AntonDunker1746,Balthasar Anton,Dunker,1746,1807,13
Johann ChristophErhard1795,Johann Christoph,Erhard,1795,1822,15
FriedrichFleischmann1791,Friedrich,Fleischmann,1791,1834,10
CarlKotterba1800,Carl,Kotterba,1800,1859,1
Johann JacobDorner1775,Johann Jacob,Dorner,1775,1852,1
Louis CharlesRuotte1754,Louis Charles,Ruotte,1754,1806,1
NicolasPonce1746,Nicolas,Ponce,1746,1831,1
Charles Em.Jacque1813,Charles Em.,Jacque,1813,1865,8
LeopoldFlameng1831,Leopold,Flameng,1831,1911,4
PaulBril1554,Paul,Bril,1554,1626,6
Willem vanNieuwlandt1584,Willem van,Nieuwlandt,1584,1635,1
AlexanderLauréus1783,Alexander,Lauréus,1783,1823,4
GeorgHaas1751,Georg,Haas,1751,1817,29
AndreasFlint1768,Andreas,Flint,1768,1824,7
Wilh. Heinrich MoritzHeuer1786,Wilh. Heinrich Moritz,Heuer,1786,1856,2
Frans MartinDodt1776,Frans Martin,Dodt,1776,1819,2
Carl EdvardTullberg1853,Carl Edvard,Tullberg,1853,1914,1
Johan van derAveelen1655,Johan van der,Aveelen,1655,1727,5
Adriaen FransBoudewyns1644,Adriaen Frans,Boudewyns,1644,1711,7
Marie-CathrinePrestel1744,Marie-Cathrine,Prestel,1744,1794,11
Leonard HenrikRoos af Hjälmsäter1787,Leonard Henrik,Roos af Hjälmsäter,1787,1827,28
KnudBaade1808,Knud,Baade,1808,1879,384
DomenicoQuaglio1787,Domenico,Quaglio,1787,1837,12
Christian GottliebKratzenstein-Stub1783,Christian Gottlieb,Kratzenstein-Stub,1783,1816,4
Johann TheophilusPrestel1739,Johann Theophilus,Prestel,1739,1808,6
Christian FriedrichStoelzel1751,Christian Friedrich,Stoelzel,1751,1816,3
ChristianMorgenstern1805,Christian,Morgenstern,1805,1867,14
Eberhards Sig.Henne1759,Eberhards Sig.,Henne,1759,1828,8
Charles LouisBuchorn1777,Charles Louis,Buchorn,1777,1806,3
John AdolfDarnstedt1769,John Adolf,Darnstedt,1769,1844,1
johs. Fr.Bolt1794,johs. Fr.,Bolt,1794,1830,1
MelchiorKüsel1622,Melchior,Küsel,1622,1683,1
GeorgBusse1810,Georg,Busse,1810,1868,2
Martin RudolfHeland1765,Martin Rudolf,Heland,1765,1814,19
Otto HenrikWallgren1795,Otto Henrik,Wallgren,1795,1857,14
HansMichelsen1789,Hans,Michelsen,1789,1859,323
Wilhelm vonHanno1826,Wilhelm von,Hanno,1826,1882,10
BertelThorvaldsen1770,Bertel,Thorvaldsen,1770,1844,22
Johan VilhelmGertner1818,Johan Vilhelm,Gertner,1818,1871,10
DomenicoTiepolo1727,Domenico,Tiepolo,1727,1804,5
EilifPeterssen1852,Eilif,Peterssen,1852,1928,820
Christoffer WilhelmEckersberg1783,Christoffer Wilhelm,Eckersberg,1783,1853,40
Heinrich AugustGrosch1763,Heinrich August,Grosch,1763,1843,202
FrithjofSmith-Hald1846,Frithjof,Smith-Hald,1846,1903,12
JacquesRothmüller1804,Jacques,Rothmüller,1804,1862,2
MagnusBerg1666,Magnus,Berg,1666,1739,2
Christian ErnstStoelzel1792,Christian Ernst,Stoelzel,1792,1837,2
Willhelm van derLeeuw1603,Willhelm van der,Leeuw,1603,1665,1
PietroAquila1650,Pietro,Aquila,1650,1692,1
Pietro AntonioMartini1739,Pietro Antonio,Martini,1739,1797,1
Johann Ch.Rosenberg1737,Johann Ch.,Rosenberg,1737,1809,1
Charles GeorgeLewis1808,Charles George,Lewis,1808,1880,2
Frederick ChristianLewis1813,Frederick Christian,Lewis,1813,1875,6
John FrederickLewis1805,John Frederick,Lewis,1805,1876,1
AugustCappelen1827,August,Cappelen,1827,1852,154
Carl Otto BentzonHaslund1842,Carl Otto Bentzon,Haslund,1842,1917,5
Johann PeterPichler1765,Johann Peter,Pichler,1765,1807,3
SiegwaldDahl1827,Siegwald,Dahl,1827,1902,34
WilhelmPeters1851,Wilhelm,Peters,1851,1935,68
Georg EmilLibert1820,Georg Emil,Libert,1820,1908,26
Jørgen WalentinSonne1801,Jørgen Walentin,Sonne,1801,1890,3
SophusSchack1811,Sophus,Schack,1811,1846,1
August-AndréLancon1836,August-André,Lancon,1836,1885,1
AugustGeist1835,August,Geist,1835,1860,1
ChristianForssell1777,Christian,Forssell,1777,1852,5
Johan FredrikMartin1755,Johan Fredrik,Martin,1755,1816,42
AlessandroGandini1565,Alessandro,Gandini,1565,1630,1
ChristophJegher1578,Christoph,Jegher,1578,1652,4
AndreaMantegna1431,Andrea,Mantegna,1431,1506,5
DomenicoBeccafumi1484,Domenico,Beccafumi,1484,1551,3
Jusepe deRibera1590,Jusepe de,Ribera,1590,1652,5
Giovanni BattistaTiepolo1696,Giovanni Battista,Tiepolo,1696,1770,10
Giovanni BattistaVanni1599,Giovanni Battista,Vanni,1599,1660,13
ThomasWyck1616,Thomas,Wyck,1616,1677,15
LorenzFrølich1820,Lorenz,Frølich,1820,1908,103
Cornelis vanDalen1625,Cornelis van,Dalen,1625,1664,2
BerntGrønvold1859,Bernt,Grønvold,1859,1923,114
Franz WilhelmSchiertz1813,Franz Wilhelm,Schiertz,1813,1887,21
Jacob WilhelmMechau1745,Jacob Wilhelm,Mechau,1745,1808,101
Albert ChristopherDies1755,Albert Christopher,Dies,1755,1822,3
F. A.Milatz1763,F. A.,Milatz,1763,1808,2
WillemBasse1613,Willem,Basse,1613,1672,2
Johan JuliusExner1825,Johan Julius,Exner,1825,1910,1
AastaHansteen1824,Aasta,Hansteen,1824,1908,10
CarlGuttenberg1743,Carl,Guttenberg,1743,1792,1
GottfriedStein1687,Gottfried,Stein,1687,1747,2
Stephan Baron vonStengel1751,Stephan Baron von,Stengel,1751,2018,1
Hans NielsenBergh1836,Hans Nielsen,Bergh,1836,1879,6
BarthelBeham1502,Barthel,Beham,1502,1540,3
ConstantinHansen1804,Constantin,Hansen,1804,1880,6
ChristianHornemann1765,Christian,Hornemann,1765,1844,3
JohannesFlintoe1787,Johannes,Flintoe,1787,1870,218
Carl Nicolaj MariusSimonsen1828,Carl Nicolaj Marius,Simonsen,1828,1902,3
AlfredFosterud1849,Alfred,Fosterud,1849,1924,3
Johann WilhelmSchirmer1807,Johann Wilhelm,Schirmer,1807,1863,31
CiroFerri1634,Ciro,Ferri,1634,1689,2
Niels PeterHolbech1772,Niels Peter,Holbech,1772,1847,1
VictorJasper1848,Victor,Jasper,1848,1931,4
BonaventuraPeeters (I)1614,Bonaventura,Peeters (I),1614,1652,2
Peter PaulRubens1577,Peter Paul,Rubens,1577,1640,12
DavidTeniers (II)1610,David,Teniers (II),1610,1690,7
Antony vanZsÿlevelt1643,Antony van,Zsÿlevelt,1643,1687,4
Anton HeinrichRiedel1763,Anton Heinrich,Riedel,1763,1814,10
CarelAllard1648,Carel,Allard,1648,1706,4
Jacob deWit1695,Jacob de,Wit,1695,1754,1
AbrahamGenoels1640,Abraham,Genoels,1640,1723,8
Aegedius vanSchendel1635,Aegedius van,Schendel,1635,2016,1
EugèneIsabey1803,Eugène,Isabey,1803,1886,2
GustafGustafsson1852,Gustaf,Gustafsson,1852,1903,3
AxelTallberg1960,Axel,Tallberg,1960,1928,12
JohannesGlauber1646,Johannes,Glauber,1646,1726,17
FriedrichWestphal1804,Friedrich,Westphal,1804,1844,4
FerdinandBoberg1860,Ferdinand,Boberg,1860,1946,10
MaxKlinger1857,Max,Klinger,1857,1920,183
HansBaldung1470,Hans,Baldung,1470,1552,3
Johann GeorgPrisler1757,Johann Georg,Prisler,1757,1808,1
RobertHaglund1844,Robert,Haglund,1844,1930,14
AndersZorn1860,Anders,Zorn,1860,1920,24
Carl SamuelFlodman1863,Carl Samuel,Flodman,1863,1888,6
Albert TheodorGellerstedt1836,Albert Theodor,Gellerstedt,1836,1914,12
JuliusKronberg1850,Julius,Kronberg,1850,1921,5
CarlLarsson1853,Carl,Larsson,1853,1919,19
TryøveHermelin1856,Tryøve,Hermelin,1856,1951,7
Carolina Maria Benedicks-BBruce1865,Carolina Maria Benedicks-B,Bruce,1865,1935,2
PetrusClouwet1625,Petrus,Clouwet,1625,1670,1
Jean AlexandreAllais1792,Jean Alexandre,Allais,1792,1850,2
ConradWaumans1618,Conrad,Waumans,1618,1636,1
HansWitdoeck1615,Hans,Witdoeck,1615,1642,3
RichardCollin1626,Richard,Collin,1626,1678,1
Jørgen PedersenRoed1808,Jørgen Pedersen,Roed,1808,1888,5
ThoraldLæssøe1816,Thorald,Læssøe,1816,1878,4
NielsSimonsen1807,Niels,Simonsen,1807,1885,4
FransSchwartz1850,Frans,Schwartz,1850,1917,10
PieterMolyn1595,Pieter,Molyn,1595,1661,3
Cesar deCock1820,Cesar de,Cock,1820,1904,1
ChristianSkredsvig1854,Christian,Skredsvig,1854,1924,77
FrantsHenningsen1850,Frants,Henningsen,1850,1908,5
ViggoJastrau1857,Viggo,Jastrau,1857,1946,7
Jan TheodorDe Bry1561,Jan Theodor,De Bry,1561,1623,4
Edv.Alton1771,Edv.,Alton,1771,1840,1
WilhelmHolter1842,Wilhelm,Holter,1842,1916,29
Franciscus van denSteen1604,Franciscus van den,Steen,1604,1672,3
AdolfMenzel1815,Adolf,Menzel,1815,1905,12
David ITeniers1582,David I,Teniers,1582,1649,2
Hermanius vanBrussel1763,Hermanius van,Brussel,1763,1815,10
GillisNeyts1623,Gillis,Neyts,1623,1687,2
PeeterBout1658,Peeter,Bout,1658,1702,1
Gerrit ClaeszBleker1610,Gerrit Claesz,Bleker,1610,1656,8
Lucas vanUden1595,Lucas van,Uden,1595,1672,8
MelchiorLorch1527,Melchior,Lorch,1527,1590,3
Pieter vanSompel1600,Pieter van,Sompel,1600,1643,3
Robert van denHoecke1622,Robert van den,Hoecke,1622,1668,1
Thorvald SimonNiss1842,Thorvald Simon,Niss,1842,1905,6
Hans NicolayHansen1853,Hans Nicolay,Hansen,1853,1923,26
JKlaus1864,J,Klaus,1864,1927,2
EugèneCarrière1849,Eugène,Carrière,1849,1906,5
Jean-FrançoisRaffaëlli1850,Jean-François,Raffaëlli,1850,1924,5
Francisco deGoya1746,Francisco de,Goya,1746,1828,219
John LeopoldLübschitz1858,John Leopold,Lübschitz,1858,1941,14
EdvardMunch1863,Edvard,Munch,1863,1944,234
Theophile N.Chauvel1831,Theophile N.,Chauvel,1831,1910,3
FranzStuck1863,Franz,Stuck,1863,1928,3
WilhelmLeibl1844,Wilhelm,Leibl,1844,1900,1
ErnstZimmermann1852,Ernst,Zimmermann,1852,1901,1
MaxLiebermann1847,Max,Liebermann,1847,1935,14
HenriMatisse1869,Henri,Matisse,1869,1954,8
Henri deToulouse-Lautrec1864,Henri de,Toulouse-Lautrec,1864,1901,35
ÉdouardManet1832,Édouard,Manet,1832,1883,17
MarcelGromaire1892,Marcel,Gromaire,1892,1971,5
Carl Georg AntonGraeb1816,Carl Georg Anton,Graeb,1816,1884,1
Pieter Jansz.Quast1606,Pieter Jansz.,Quast,1606,1647,17
Jan vanTroyen1610,Jan van,Troyen,1610,1666,1
Philipp HerrmannEichens1812,Philipp Herrmann,Eichens,1812,1872,2
Johann BaptisteHomann1664,Johann Baptiste,Homann,1664,1724,1
Karl AugustLebschée1800,Karl August,Lebschée,1800,1877,1
Romein deHooghe1645,Romein de,Hooghe,1645,1708,10
GottfriedPfauntz1800,Gottfried,Pfauntz,1800,1900,1
LorentzEkeman-Allesson1791,Lorentz,Ekeman-Allesson,1791,1828,5
Carl Fr.Heinzmann1795,Carl Fr.,Heinzmann,1795,1846,2
DavidLjungdahl1870,David,Ljungdahl,1870,1940,9
Ernst L.Riepenhausen1765,Ernst L.,Riepenhausen,1765,1840,46
Johann GottfriedHaid1710,Johann Gottfried,Haid,1710,1776,2
Gerard deLairesse1640,Gerard de,Lairesse,1640,1711,22
Gerrit AdrianszGouw1590,Gerrit Adriansz,Gouw,1590,1638,1
WillemPanneels1600,Willem,Panneels,1600,1632,2
WilhelmWegener1812,Wilhelm,Wegener,1812,1879,14
Jacob Chr.Miville1786,Jacob Chr.,Miville,1786,1836,3
Lorenzo delQuaglio1793,Lorenzo del,Quaglio,1793,1869,2
AugustLöffler1822,August,Löffler,1822,1866,1
ChristophNathe1753,Christoph,Nathe,1753,1806,17
Johann Friedrich AlexanderThiele1747,Johann Friedrich Alexander,Thiele,1747,1803,4
MNeher1798,M,Neher,1798,1876,1
ConradMeyer1609,Conrad,Meyer,1609,1680,1
JosephHeiche1811,Joseph,Heiche,1811,1861,1
Carl WilhelmHeideck1788,Carl Wilhelm,Heideck,1788,1861,2
Joh. Martin Fr.Geissler1778,Joh. Martin Fr.,Geissler,1778,1833,10
AlbrechtAdam1786,Albrecht,Adam,1786,1862,1
EugenHess1824,Eugen,Hess,1824,1862,1
Johann MartinGensler1811,Johann Martin,Gensler,1811,1881,3
Bartholomäus IgnazWeiss1730,Bartholomäus Ignaz,Weiss,1730,1815,5
WillemLinning1849,Willem,Linning,1849,1890,1
Jakob vanSchley1715,Jakob van,Schley,1715,1779,14
TheodorGalle1571,Theodor,Galle,1571,1596,3
JanBol1592,Jan,Bol,1592,1640,2
Carl C. Vogel vonVogelstein1788,Carl C. Vogel von,Vogelstein,1788,2018,1
Johann FriedrichSteinkope1737,Johann Friedrich,Steinkope,1737,2018,1
Ludvig EmilGrimm1792,Ludvig Emil,Grimm,1792,1863,1
Fr. Chr.Fues1772,Fr. Chr.,Fues,1772,1836,1
Joh. AlexanderDallinger1783,Joh. Alexander,Dallinger,1783,1844,2
FranzReinholdt1800,Franz,Reinholdt,1800,1900,1
FranzSablet1751,Franz,Sablet,1751,0180,1
JoostAmman1539,Joost,Amman,1539,1591,5
Joh. WilhelmMeil1733,Joh. Wilhelm,Meil,1733,1805,14
Ferdinand (prins)Sachsen-Cobourg1800,Ferdinand (prins),Sachsen-Cobourg,1800,1900,1
di laBelle1787,di la,Belle,1787,1845,8
ClemensKohl1754,Clemens,Kohl,1754,1807,7
Johann HeinrichMenken1764,Johann Heinrich,Menken,1764,1837,2
HeinrichUlrich1572,Heinrich,Ulrich,1572,1621,14
AlbrechtAltdorfer1483,Albrecht,Altdorfer,1483,1538,2
"Lucas, hans verkstedCranach d.e.1472","Lucas, hans verksted",Cranach d.e.,1472,1553,2
Johann GeorgPenzel1754,Johann Georg,Penzel,1754,1809,46
Jah. Aug.Rossmäsler1752,Jah. Aug.,Rossmäsler,1752,1783,17
Johann GeorgDillis1759,Johann Georg,Dillis,1759,1841,4
Johann BenjaminEhrenreich1739,Johann Benjamin,Ehrenreich,1739,2017,5
Wolfgang vonGöthe1750,Wolfgang von,Göthe,1750,1832,1
Christian Ludwig vonHagedorn1717,Christian Ludwig von,Hagedorn,1717,1780,56
EmanuelHandmann1718,Emanuel,Handmann,1718,1781,1
Georg ErnstHargen1790,Georg Ernst,Hargen,1790,1863,2
J. DanielHeimlich1740,J. Daniel,Heimlich,1740,1796,6
FranzKrüger1797,Franz,Krüger,1797,1857,7
Joseph AntonKoch1768,Joseph Anton,Koch,1768,1839,12
August GustavLasinsky1812,August Gustav,Lasinsky,1812,1870,1
erkehertuginne av ØsterrikeMaria Anna1738,erkehertuginne av Østerrike,Maria Anna,1738,1789,1
FelixMeyer1653,Felix,Meyer,1653,1713,4
JohannMeyer1655,Johann,Meyer,1655,1712,3
Gustav Fr.Papperitz1813,Gustav Fr.,Papperitz,1813,1861,16
Martin FerdinandQuadal1736,Martin Ferdinand,Quadal,1736,1811,2
Carl GottliebRasp1752,Carl Gottlieb,Rasp,1752,1807,1
J. A. FriedrichRauscher1754,J. A. Friedrich,Rauscher,1754,0180,2
AlexanderSauerweid1782,Alexander,Sauerweid,1782,1844,3
HansSchaufelein1490,Hans,Schaufelein,1490,1549,6
Joh. ChristophStorer1611,Joh. Christoph,Storer,1611,1671,2
PaulTroger1698,Paul,Troger,1698,1777,2
OttoWagner1803,Otto,Wagner,1803,1861,9
Robert vanAuden-Aerd1663,Robert van,Auden-Aerd,1663,1743,3
Jan Frans vanBloemen1656,Jan Frans van,Bloemen,1656,1745,2
Louis deDeyster1656,Louis de,Deyster,1656,1711,1
Jan August Henri BaronLeys1815,Jan August Henri Baron,Leys,1815,1869,1
EgidiusLinnig1821,Egidius,Linnig,1821,1860,6
JanMiele1599,Jan,Miele,1599,1633,3
CornelisBos1506,Cornelis,Bos,1506,1564,1
CornelisBrouwer1750,Cornelis,Brouwer,1750,2017,1
AbrahamCasembrot1650,Abraham,Casembrot,1650,1675,1
JanChalon1738,Jan,Chalon,1738,1795,1
BarentGraat1628,Barent,Graat,1628,1709,2
Remingius AdrianusHaanen1812,Remingius Adrianus,Haanen,1812,1894,2
DanielHopfer1470,Daniel,Hopfer,1470,1536,4
Jan MienseMolenaer1605,Jan Miense,Molenaer,1605,1668,2
Johannes van IVNoort1620,Johannes van IV,Noort,1620,1675,2
Hendrik Josef Franciscus van derPoorten1789,Hendrik Josef Franciscus van der,Poorten,1789,2018,1
AbrahamRademaker1675,Abraham,Rademaker,1675,1735,3
RoelandRoghman1597,Roeland,Roghman,1597,1686,7
CornelisSaftleven1607,Cornelis,Saftleven,1607,1681,14
HendrikSpilman1721,Hendrik,Spilman,1721,1784,19
Willem d. y.Swidde1661,Willem d. y.,Swidde,1661,1690,6
JohannesTavenraet1809,Johannes,Tavenraet,1809,0186,1
Simon Jacobsz deVlieger1600,Simon Jacobsz de,Vlieger,1600,1653,8
SimonFokke1712,Simon,Fokke,1712,1784,2
Jean FrancoisPortaels1818,Jean Francois,Portaels,1818,1878,1
AntonGraff1736,Anton,Graff,1736,1813,8
Joachim FrangBeich1665,Joachim Frang,Beich,1665,1748,2
Johann G. A.Frenzel1782,Johann G. A.,Frenzel,1782,1855,2
Johann GottliebGlume1711,Johann Gottlieb,Glume,1711,1778,1
SamuelGraenicher1758,Samuel,Graenicher,1758,1813,1
Johann EvangelistHolzer1708,Johann Evangelist,Holzer,1708,1740,12
Franz NicolausKönig1760,Franz Nicolaus,König,1760,1832,2
