KunstnerNøkkel,Fornavn kunstner,Etternavn kunstner,FØDT,DØD,Antall verk
Arne SchramBruland1920,Arne Schram,Bruland,1920,1980,12
Hans GerhardSørensen1923,Hans Gerhard,Sørensen,1923,1999,59
HansAarhus1920,Hans,Aarhus,1920,1980,1
SuzanneØgaard1918,Suzanne,Øgaard,1918,2003,3
EgilWeiglin1917,Egil,Weiglin,1917,1997,6
KåreTveit1921,Kåre,Tveit,1921,1992,4
Alf KroghHolt1919,Alf Krogh,Holt,1919,1997,1
BårdBrodersen1927,Bård,Brodersen,1927,2001,4
EinarEilertsen1932,Einar,Eilertsen,1932,2000,5
StefannyHillgaard1925,Stefanny,Hillgaard,1925,1990,2
WenckeSmith1927,Wencke,Smith,1927,1972,1
KalleOrstad1919,Kalle,Orstad,1919,1995,3
HenryHeerup1907,Henry,Heerup,1907,1994,4
SidselPaaske1937,Sidsel,Paaske,1937,1980,1
ErikEriksen1923,Erik,Eriksen,1923,1976,3
AtleUrdal1913,Atle,Urdal,1913,1988,5
ValtyrPetursson1919,Valtyr,Petursson,1919,1988,1
Jan RoarFlaa1961,Jan Roar,Flaa,1961,1990,11
HåkonStenstadvold1912,Håkon,Stenstadvold,1912,1977,145
KåreKivijärvi1938,Kåre,Kivijärvi,1938,1991,10
HansHartung1904,Hans,Hartung,1904,1989,2
Synnøve AnkerAurdal1908,Synnøve Anker,Aurdal,1908,2000,25
Christian FredrikSchjøtt1921,Christian Fredrik,Schjøtt,1921,1964,1
KjartanSlettemark1932,Kjartan,Slettemark,1932,2008,21
KjerstinØvrelid1929,Kjerstin,Øvrelid,1929,1989,2
MartinBarré1924,Martin,Barré,1924,1993,1
TorstenBergmark1920,Torsten,Bergmark,1920,1996,2
RogerBissière1886,Roger,Bissière,1886,1964,8
CamilleBryen1907,Camille,Bryen,1907,1977,2
OlivierDebré1920,Olivier,Debré,1920,1999,1
JeanDubuffet1901,Jean,Dubuffet,1901,1985,1
PoulEkelund1920,Poul,Ekelund,1920,1976,3
WilhelmFreddie1909,Wilhelm,Freddie,1909,1995,1
GunvorGrönvik1912,Gunvor,Grönvik,1912,1955,1
VirgilioGuidi1891,Virgilio,Guidi,1891,1984,1
AsgerJorn1914,Asger,Jorn,1914,1973,4
LageLindell1920,Lage,Lindell,1920,1980,1
AlfredManessier1911,Alfred,Manessier,1911,1993,9
RichardMortensen1910,Richard,Mortensen,1910,1993,3
SergePoliakoff1900,Serge,Poliakoff,1900,1969,5
ArmandRossander1914,Armand,Rossander,1914,1976,1
GustaveSingier1909,Gustave,Singier,1909,1984,4
Jésus RaphaelSoto1923,Jésus Raphael,Soto,1923,2005,1
RufinoTamayo1899,Rufino,Tamayo,1899,1991,2
RaoulUbac1910,Raoul,Ubac,1910,1985,2
Maria ElenaVieira da Silva1908,Maria Elena,Vieira da Silva,1908,1992,5
AndyWarhol1928,Andy,Warhol,1928,1987,1
SivertDonali1931,Sivert,Donali,1931,2010,1
Karl JohanFlaathe1920,Karl Johan,Flaathe,1920,1975,2
EdithAas1924,Edith,Aas,1924,1976,1
JeanAmado1922,Jean,Amado,1922,1995,1
WalterBengtsson1927,Walter,Bengtsson,1927,1998,1
RegButler1913,Reg,Butler,1913,1981,1
PericleFazzini1913,Pericle,Fazzini,1913,1987,2
EmileGilioli1911,Emile,Gilioli,1911,1977,1
Sonja FerlovMancoba1911,Sonja Ferlov,Mancoba,1911,1984,8
GiacomoManzù1908,Giacomo,Manzù,1908,1991,2
MarcelloMascherini1906,Marcello,Mascherini,1906,1983,1
GuiseppeSantomaso1907,Guiseppe,Santomaso,1907,1990,2
IonTuculesco1910,Ion,Tuculesco,1910,1962,1
NikolaiAstrup1931,Nikolai,Astrup,1931,1990,1
OlaBillgren1940,Ola,Billgren,1940,2001,2
BernhardBlume1937,Bernhard,Blume,1937,2011,5
DonaldJudd1928,Donald,Judd,1928,1994,1
OddmundKristiansen1920,Oddmund,Kristiansen,1920,1997,2
Robert A.Robinson1927,Robert A.,Robinson,1927,1996,28
OleBerg1917,Ole,Berg,1917,1983,3
JanSchoonhoven1914,Jan,Schoonhoven,1914,1994,1
SnorreAndersen1914,Snorre,Andersen,1914,1979,14
Louis AdrienMasreliez1748,Louis Adrien,Masreliez,1748,1810,1
NicolaiAbildgaard1743,Nicolai,Abildgaard,1743,1809,63
Frederik ChristianLund1826,Frederik Christian,Lund,1826,1901,9
FrederikRohde1816,Frederik,Rohde,1816,1886,3
Carl WilhelmBarth1847,Carl Wilhelm,Barth,1847,1919,7
HansHeyerdahl1857,Hans,Heyerdahl,1857,1913,61
Hans Johan FrederikBerg1813,Hans Johan Frederik,Berg,1813,1874,155
JohanNielssen1835,Johan,Nielssen,1835,1912,71
LudvigSkramstad1855,Ludvig,Skramstad,1855,1912,41
JohanGørbitz1782,Johan,Gørbitz,1782,1853,262
Peter NicolaiArbo1831,Peter Nicolai,Arbo,1831,1892,572
Johan FredrikHöckert1826,Johan Fredrik,Höckert,1826,1866,2
ReinholdtBoll1825,Reinholdt,Boll,1825,1897,28
HansGude1825,Hans,Gude,1825,1903,358
JoachimFrich1810,Joachim,Frich,1810,1858,53
HalfdanSchilling1835,Halfdan,Schilling,1835,1907,2
AndreasDisen1844,Andreas,Disen,1844,1923,7
Johan JacobBennetter1822,Johan Jacob,Bennetter,1822,1904,6
FrancescoVanni1556,Francesco,Vanni,1556,1610,7
BerntLund1812,Bernt,Lund,1812,1885,7
FredrikScholander1816,Fredrik,Scholander,1816,1881,3
Magnus ThulstrupBagge1825,Magnus Thulstrup,Bagge,1825,1894,4
Johan ChristianDahl1788,Johan Christian,Dahl,1788,1857,1889
ErnstMeyer1797,Ernst,Meyer,1797,1861,24
JuliusMiddelthun1820,Julius,Middelthun,1820,1886,164
ThomasFearnley1802,Thomas,Fearnley,1802,1842,861
Johan FredrikEckersberg1822,Johan Fredrik,Eckersberg,1822,1870,91
GuidoReni1575,Guido,Reni,1575,1642,19
WilhelmZiller1824,Wilhelm,Ziller,1824,1870,9
Joh. HermannCarmiencke1810,Joh. Hermann,Carmiencke,1810,1867,15
Emilius DitlevBærentzen1799,Emilius Ditlev,Bærentzen,1799,1868,6
ChristianKrohg1852,Christian,Krohg,1852,1925,310
Pier FrancescoMola1612,Pier Francesco,Mola,1612,1666,4
