id,artistId,produced,acquired,kind
MS-00049-1988,69,1986,,Skulptur
MS-00050-1988,69,1986,,Skulptur
MS-00051-1988,61,1988,,Grafikk
MS-00052-1988,27,1982,,Tekstil
MS-00053-1988,3,1955,1988,Tegning
MS-00054-1988,3,1940,,Maleri
MS-00055-1988,3,1957,1988,Maleri
MS-00056-1988,3,1950,1988,Maleri
MS-00057-1988,70,1986,,Skulptur
MS-00058-1988,71,1986,,Maleri
MS-00059-1988,71,1987,,Maleri
MS-00060-1988,15,1987,,Maleri
MS-00061-1988,15,1987,,Maleri
MS-00062-1988,72,1988,,Tegning
MS-00063-1988,73,1988,,Skulptur
MS-00064-1988,74,1985,,Tegning
MS-00065-1988,74,1985,,Maleri
MS-00066-1988,74,1988,,Maleri
MS-00067-1988,74,1988,,Maleri
MS-00068-1988,75,1988,,Grafikk
MS-00069-1988,75,1988,,Grafikk
MS-00070-1988,28,1955,1988,Maleri
MS-00071-1988,76,1988,,Tegning
MS-00072-1988,76,1988,,Tegning
MS-00073-1988,76,1988,,Tegning
MS-00074-1988,76,1988,,Tegning
MS-00075-1988,41,1987,,Grafikk
MS-00076-1988,41,1988,,Grafikk
MS-00077-1988,41,1988,,Grafikk
MS-00079-1988,77,1988,,Maleri
MS-00080-1988,78,1985,,Skulptur
MS-00081-1988,79,1988,,Maleri
MS-00082-1988,80,1959,,Maleri
MS-00083-1988,80,1960,,Maleri
MS-00084-1988,81,1988,,Maleri
MS-00085-1988,82,1987,,Maleri
MS-00086-1988,83,1988,,Tekstil
MS-00087-1988,75,1988,,Maleri
MS-00088-1988,84,1988,,Grafikk
MS-00088-1988-1,84,1988,,Grafikk
MS-00088-1988-2,84,1988,,Grafikk
MS-00088-1988-3,84,1988,,Grafikk
MS-00088-1988-4,84,1988,,Grafikk
MS-00088-1988-5,84,1988,,Grafikk
MS-00088-1988-6,84,1988,,Grafikk
MS-00088-1988-7,84,1988,,Grafikk
MS-00088-1988-8,84,1988,,Grafikk
MS-00088-1988-9,84,1988,,Grafikk
MS-00089-1988,85,1987,,Maleri
MS-00090-1988,85,1988,,Maleri
MS-00091-1988,85,1988,,Maleri
MS-00092-1988-1,86,1985,,Grafikk
MS-00092-1988-2,87,1985,,Grafikk
MS-00092-1988-3,88,1985,,Grafikk
MS-00092-1988-4,89,1985,,Grafikk
MS-00092-1988-5,90,1985,,Grafikk
MS-00092-1988-6,91,1985,,Grafikk
MS-00092-1988-7,92,1985,,Grafikk
MS-00092-1988-8,81,1985,,Grafikk
MS-00093-1988,8,1988,,Grafikk
MS-00094-1988,87,1987,,Grafikk
MS-00095-1988,87,1987,,Grafikk
MS-00096-1988,87,1986,,Grafikk
MS-00097-1988,87,1986,,Grafikk
MS-00098-1988,87,1986,,Grafikk
MS-00099-1988,16,1981,,Maleri
MS-00100-1988,76,1985,1988,Maleri
MS-00101-1988,93,1985,1988,Maleri
MS-00102-1988,63,1985,1988,Maleri
MS-00103-1988,94,1984,1988,Maleri
MS-00104-1988,95,1985,1988,Maleri
MS-00105-1988,96,1985,1988,Maleri
MS-00106-1988,97,1986,1988,Maleri
MS-00107-1988,98,1986,1988,Maleri
MS-00108-1988,99,1975,1988,Maleri
MS-00109-1988,100,1985,1986,Tegning
MS-00110-1988,48,1984,1988,Maleri
MS-00111-1988,52,1981,1988,Maleri
MS-00112-1988,101,1981,1988,Maleri
MS-00113-1988,95,1984,1988,Maleri
MS-00114-1988,102,1962,1988,Maleri
MS-00115-1988,103,1970,1988,Maleri
MS-00116-1988,104,1977,1988,Maleri
MS-00117-1988,105,1985,1988,Maleri
MS-00118-1988,106,1981,1988,Maleri
MS-00119-1988,107,1987,1988,Maleri
MS-00120-1988,108,1988,1988,Maleri
MS-00121-1988,109,1986,1988,Maleri
MS-00122-1988,110,1986,1988,Maleri
MS-00123-1988,111,1980,1988,Maleri
MS-00124-1988,5,1978,1988,Maleri
MS-00125-1988,112,1984,1988,Maleri
MS-00126-1988,113,1980,1988,Maleri
MS-00127-1988,114,1984,1988,Maleri
MS-00128-1988,115,1987,1988,Maleri
MS-00129-1988,116,1986,1988,Maleri
MS-00130-1988,117,1988,1988,Maleri
MS-00131-1988,118,1983,1988,Maleri
MS-00132-1988,119,1985,1988,Maleri
MS-00133-1988,120,1986,1988,Maleri
MS-00135-1988,80,1978,1988,Collage
MS-00136-1988,31,1974,1988,Maleri
MS-00137-1988,48,1972,1988,Maleri
MS-00138-1988,121,1961,1988,Maleri
MS-00139-1988,122,1967,1988,Maleri
MS-00140-1988,123,1983,1988,Maleri
MS-00141-1988,124,1984,1988,Maleri
MS-00142-1988,79,1984,1988,Maleri
MS-00143-1988,125,1984,1988,Maleri
MS-00144-1988,101,1986,1988,Maleri
MS-00145-1988,126,1982,1988,Maleri
MS-00146-1988,127,1985,1988,Maleri
MS-00147-1988,128,1960,1988,Maleri
MS-00148-1988,112,1968,1988,Maleri
MS-00149-1988,129,1984,1988,Maleri
MS-00150-1988,112,1968,1988,Maleri
MS-00151-1988,130,1967,1988,Maleri
MS-00152-1988,6,1965,1988,Maleri
MS-00153-1988,131,1987,1988,Grafikk
MS-00154-1988,132,1979,1988,Maleri
MS-00155-1988,30,1979,1988,Maleri
MS-00156-1988,96,1987,1988,Maleri
MS-00157-1988,133,1986,1988,Maleri
MS-00158-1988,134,1962,1988,Maleri
MS-00159-1988,99,1952,1988,Maleri
MS-00160-1988,135,1983,1988,Maleri
MS-00161-1988,120,1983,1988,Maleri
MS-00162-1988,136,1977,1988,Collage
MS-00163-1988,65,1985,1988,Maleri
MS-00164-1988,113,1985,1988,Maleri
MS-00165-1988,137,1986,1988,Maleri
MS-00166-1988,138,1984,1988,Maleri
MS-00167-1988,139,1985,1988,Maleri
MS-00168-1988,130,1964,1988,Maleri
MS-00169-1988,140,1978,1988,Maleri
MS-00170-1988,141,1979,1988,Maleri
MS-00171-1988,94,1981,1988,Maleri
MS-00172-1988,121,1978,1988,Maleri
MS-00173-1988,142,1968,1988,Maleri
MS-00174-1988,111,1975,1988,Maleri
MS-00175-1988,143,1964,1988,Maleri
MS-00176-1988,144,1981,1988,Maleri
MS-00177-1988,61,1984,1988,Maleri
MS-00178-1988,145,1986,1988,Maleri
MS-00179-1988,76,1977,1988,Maleri
MS-00180-1988,146,1977,1988,Maleri
MS-00181-1988,147,1975,1988,Maleri
MS-00182-1988,34,1972,1988,Maleri
MS-00183-1988,148,1980,1988,Maleri
MS-00184-1988,149,1981,1988,Maleri
MS-00185-1988,150,1985,1988,Tegning
MS-00186-1988,147,1965,1988,Maleri
MS-00187-1988,102,1952,1988,Maleri
MS-00188-1988,151,1982,1988,Grafikk
MS-00189-1988,152,1979,1988,Maleri
MS-00190-1988,48,1955,1988,Maleri
MS-00191-1988,143,1969,1988,Maleri
MS-00192-1988,153,1980,1988,Maleri
MS-00193-1988,139,1987,1988,Maleri
MS-00195-1988,154,1983,1988,Maleri
MS-00196-1988,140,1986,1988,Maleri
MS-00197-1988,155,1972,1988,Maleri
MS-00198-1988,156,1975,1981,Maleri
MS-00198-1988,156,1975,1988,Maleri
MS-00199-1988,157,1957,1988,Maleri
MS-00200-1988,158,1984,1988,Maleri
MS-00201-1988,159,1983,1988,Maleri
MS-00202-1988,139,1980,1988,Maleri
MS-00203-1988,160,1987,1988,Maleri
MS-00204-1988,155,1985,1988,Maleri
MS-00205-1988,155,1985,1988,Maleri
MS-00206-1988,81,1984,1988,Maleri
MS-00207-1988,161,1987,1988,Maleri
MS-00208-1988,147,1987,1988,Maleri
MS-00209-1988,162,1987,1987,Maleri
MS-00210-1988,163,1986,1988,Maleri
MS-00211-1988,164,1982,1988,Maleri
MS-00212-1988,149,1985,1988,Maleri
MS-00213-1988,165,1987,1988,Maleri
MS-00214-1988,6,1951,1988,Maleri
MS-00215-1988,76,1986,1988,Maleri
MS-00216-1988,166,1986,1988,Maleri
MS-00218-1988,116,1969,1988,Maleri
MS-00219-1988,167,1986,1988,Maleri
MS-00220-1988,168,1979,1988,Maleri
MS-00221-1988,42,1966,1988,Maleri
